"Fecha","Temperatura (°C)","Humedad Relativa (%)","Velocidad Viento (m/s)","Radiación Solar (W/m2)"
"6/8/2022 0:00","16.14","95.1","0","2.28"
"6/8/2022 0:05","16.15","95.26","0","2.34"
"6/8/2022 0:10","16.18","95.27","0","2.4"
"6/8/2022 0:15","16.12","95.08","0","2.36"
"6/8/2022 0:20","16.14","95","0","2.24"
"6/8/2022 0:25","16.13","95.09","0","2.26"
"6/8/2022 0:30","16.15","95.11","0","2.24"
"6/8/2022 0:35","16.11","95.18","0","2.24"
"6/8/2022 0:40","16.13","95.64","0","2.28"
"6/8/2022 0:45","16.14","95.6","0","2.28"
"6/8/2022 0:50","16.15","95.7","0","2.32"
"6/8/2022 0:55","16.13","95.62","0","2.3"
"6/8/2022 1:00","16.15","95.57","0","2.2"
"6/8/2022 1:05","16.18","95.52","0","2.24"
"6/8/2022 1:10","16.18","95.55","0","2.26"
"6/8/2022 1:15","16.22","95.63","0","2.24"
"6/8/2022 1:20","16.2","95.7","0","2.24"
"6/8/2022 1:25","16.15","95.6","0","2.26"
"6/8/2022 1:30","16.11","95.57","0","2.3"
"6/8/2022 1:35","16.14","95.76","0","2.3"
"6/8/2022 1:40","16.08","95.94","0","2.32"
"6/8/2022 1:45","16.01","95.79","0","2.32"
"6/8/2022 1:50","16.02","95.77","0","2.26"
"6/8/2022 1:55","15.98","95.81","0","2.26"
"6/8/2022 2:00","15.85","95.85","0","2.32"
"6/8/2022 2:05","15.79","95.83","0","2.32"
"6/8/2022 2:10","15.77","95.81","0","2.32"
"6/8/2022 2:15","15.71","95.98","0","2.38"
"6/8/2022 2:20","15.72","96.35","0","2.2"
"6/8/2022 2:25","15.71","96.37","0","2.2"
"6/8/2022 2:30","15.68","96.48","0","2.3"
"6/8/2022 2:35","15.64","96.43","0","2.28"
"6/8/2022 2:40","15.55","96.36","0","2.32"
"6/8/2022 2:45","15.48","96.52","0","2.28"
"6/8/2022 2:50","15.48","96.85","0","2.32"
"6/8/2022 2:55","15.49","96.83","0","2.32"
"6/8/2022 3:00","15.4","96.64","0","2.3"
"6/8/2022 3:05","15.33","96.85","0","2.38"
"6/8/2022 3:10","15.3","97.01","0","2.26"
"6/8/2022 3:15","15.29","96.84","0","2.28"
"6/8/2022 3:20","15.16","96.77","0","2.3"
"6/8/2022 3:25","15.06","96.71","0","2.3"
"6/8/2022 3:30","15.08","97.22","0.02","2.22"
"6/8/2022 3:35","15.06","97.41","0.03","2.32"
"6/8/2022 3:40","15.03","97.3","0.09","2.26"
"6/8/2022 3:45","15.03","97.19","0.13","2.22"
"6/8/2022 3:50","15.04","96.39","0.15","2.38"
"6/8/2022 3:55","15.08","95.74","0.13","2.32"
"6/8/2022 4:00","14.95","96.11","0.18","2.3"
"6/8/2022 4:05","14.96","96.25","0.16","2.26"
"6/8/2022 4:10","15.06","95.92","0.05","2.26"
"6/8/2022 4:15","15.21","95.6","0.03","2.26"
"6/8/2022 4:20","15.13","95.15","0.07","2.2"
"6/8/2022 4:25","14.93","95.42","0.09","2.2"
"6/8/2022 4:30","14.89","95.7","0.12","2.22"
"6/8/2022 4:35","14.91","95.76","0.11","2.28"
"6/8/2022 4:40","14.82","95.45","0.24","2.26"
"6/8/2022 4:45","14.77","95.29","0.13","2.26"
"6/8/2022 4:50","14.74","95.38","0.18","2.26"
